Feature,Disparate Impact,Demographic Parity Diff,Equal Opportunity Diff,Is_Continuous
Gender,0.6594800253646163,0.27176113360323895,0.4874835309617918,False
Married,0.9104859335038363,0.06939854593522798,0.15334947538337373,False
Dependents,0.8944444444444444,0.08260869565217399,0.1875,False
Education,0.8145454545454546,0.14571428571428569,0.04901960784313719,False
Self_Employed,0.8674698795180723,0.10185185185185186,0.10954616588419408,False
ApplicantIncome,0.9283854166666667,0.05544354838709675,0.06304347826086953,True
CoapplicantIncome,0.0,1.0,0.0,True
LoanAmount,0.7948717948717948,0.17204301075268824,0.04901960784313719,True
Loan_Amount_Term,0.0,1.0,1.0,True
Credit_History,0.0,0.9042553191489362,0.9041095890410958,False
Property_Area,0.8172514619883041,0.15299877600979195,0.11285266457680243,False
